=== Ball Operations Log (Started at Apr  7 2025 16:01:59) ===
[Mon Apr  7 16:02:08 2025] [INFO] Client FD: 5, Action: New client connected, Count: 0, Details: IP: 127.0.0.1, Port: 40016
[Mon Apr  7 16:02:09 2025] [INFO] Client FD: 5, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 5, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:10 2025] [INFO] Client FD: 5, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 5, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:10 2025] [INFO] Client FD: 5, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 5, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:11 2025] [INFO] Client FD: 5, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 5, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:12 2025] [INFO] Client FD: 5, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 5, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:20 2025] [INFO] Client FD: 6, Action: New client connected, Count: 0, Details: IP: 127.0.0.1, Port: 60216
[Mon Apr  7 16:02:24 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:25 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:26 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:27 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:28 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:29 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:29 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: ADD, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:29 2025] [INFO] Client FD: 6, Action: Client disconnected, Count: 0, Details: Reason: Client requested disconnect
[Mon Apr  7 16:02:31 2025] [INFO] Client FD: 6, Action: New client connected, Count: 0, Details: IP: 127.0.0.1, Port: 50102
[Mon Apr  7 16:02:38 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:38 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:39 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:39 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:39 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:40 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:41 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

[Mon Apr  7 16:02:41 2025] [INFO] Client FD: 6, Action: Ball memory usage, Count: 1, Details: [Log] Client FD: 6, Action: DEL, Count: 1, Memory: 40 bytes

